date,noise_fraction,noise_percent,step,n_components,explained_variance,n_states,current_state,strategy_1_return,strategy_2_return,buy_hold_return,strategy_1_directional_accuracy,strategy_2_directional_accuracy
2014-12-26 00:00:00,0.45,45,1,3,0.5840461291795929,2,1,-0.000448170091518052,-0.004180924980903988,0.0023977599635869825,0.5,0.375
2015-01-02 00:00:00,0.45,45,2,3,0.5836370672546141,3,0,-0.014859629331306424,-0.016388496748432263,0.0037128072456499746,0.20833333333333334,0.20833333333333334
2015-01-09 00:00:00,0.45,45,3,3,0.5836967104814217,3,2,-0.014686883501504822,-0.014686883501504822,-0.005403340994766668,0.16666666666666666,0.16666666666666666
2015-01-16 00:00:00,0.45,45,4,3,0.5840676772466951,2,1,-7.967912387824082e-05,0.0012088124192384444,0.0027205890305413457,0.5416666666666666,0.5416666666666666
2015-01-23 00:00:00,0.45,45,5,3,0.5833865172738694,2,0,-0.00017074787236492995,0.0011832163175401077,-0.0003088735444899666,0.4166666666666667,0.5
2015-01-30 00:00:00,0.45,45,6,3,0.583151969803912,2,1,0.013673309956241886,0.011102823199453613,-0.005922784139975146,0.7083333333333334,0.625
2015-02-06 00:00:00,0.45,45,7,3,0.5849401179011045,3,0,-0.00020180291484261838,-0.008007446492984882,-0.0023008160498137423,0.4166666666666667,0.20833333333333334
2015-02-13 00:00:00,0.45,45,8,3,0.5833627286944616,2,0,-0.00028125709525032676,-0.006172677946772116,-0.001771146641179531,0.5833333333333334,0.4166666666666667
2015-02-20 00:00:00,0.45,45,9,3,0.5845126748054199,3,2,0.00021650462933850886,0.0019407445983366876,0.00021049556191723127,0.5416666666666666,0.5833333333333334
2015-02-27 00:00:00,0.45,45,10,3,0.5822587661598305,3,0,0.007908398811433405,0.005539711051935303,-0.002502315009777748,0.6666666666666666,0.6666666666666666
2015-03-06 00:00:00,0.45,45,11,3,0.5848449530235802,2,0,-0.008066886999089916,-0.009064770077727437,-0.007229983542105234,0.25,0.20833333333333334
2015-03-13 00:00:00,0.45,45,12,3,0.584510002482656,2,1,-0.00832075801713138,-0.009473476661178558,-0.0011339046980012434,0.3333333333333333,0.2916666666666667
2015-03-20 00:00:00,0.45,45,13,3,0.5850031848602664,2,1,-0.0017409453769056682,-0.007070918456826926,0.0027595947341163053,0.5,0.2916666666666667
2015-03-27 00:00:00,0.45,45,14,3,0.5853964323440064,2,0,-0.0013606705436439983,-0.0032458687537414107,-0.000356245961922188,0.4166666666666667,0.375
2015-04-03 00:00:00,0.45,45,15,3,0.5838046451758696,2,0,0.0031339109816826277,0.0008308115313409959,-0.001889285822972448,0.625,0.625
2015-04-10 00:00:00,0.45,45,16,3,0.5819515863901824,2,0,0.004790266404734897,0.006757755104578741,-0.0004140141304587104,0.5833333333333334,0.75
2015-04-17 00:00:00,0.45,45,17,3,0.5822618277096735,2,1,0.007649653349979288,0.00841629629088787,-0.004364197268200892,0.75,0.75
2015-04-24 00:00:00,0.45,45,18,3,0.5797230939877801,2,1,-0.007166462909011895,-0.009077715890280662,0.0010301797375144837,0.3333333333333333,0.3333333333333333
2015-05-01 00:00:00,0.45,45,19,3,0.5801159456750246,2,0,-0.0004713662189466464,0.0007127165624527913,-0.003358817961637974,0.5,0.5
2015-05-08 00:00:00,0.45,45,20,3,0.5802369514344148,2,0,0.006906497622575951,0.009154433782340023,-0.00280106867943867,0.6666666666666666,0.75
2014-12-26 00:00:00,0.3,30,1,7,0.7242853956081993,4,0,0.0021092770521253805,0.0010787976587804504,0.0023977599635869825,0.5833333333333334,0.5416666666666666
2015-01-02 00:00:00,0.3,30,2,7,0.7239110009275153,2,1,-0.01699693139007172,-0.016598272504780007,0.0037128072456499746,0.16666666666666666,0.20833333333333334
2015-01-09 00:00:00,0.3,30,3,7,0.7239709291451377,2,0,0.014696960713857033,0.01470416878015173,-0.005403340994766668,0.75,0.8333333333333334
